% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
100.00    0.016241        5414         3           wait4
  0.00    0.000000           0         3           read
  0.00    0.000000           0         7           close
  0.00    0.000000           0        65        33 stat
  0.00    0.000000           0         4           fstat
  0.00    0.000000           0        24           lstat
  0.00    0.000000           0         6           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         9           rt_sigaction
  0.00    0.000000           0         3           ioctl
  0.00    0.000000           0        49        32 access
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         3           vfork
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           getcwd
  0.00    0.000000           0         3           unlink
  0.00    0.000000           0         8           readlink
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0        19        12 openat
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.016241                   224        77 total
